,seed,Unnamed: 0,reward,actions,runtime,true_reward,expected_reward
0,5000,499.5,3.533576180687452,4.926,0.0015,3.537274632630544,3.533576180687452
1,5001,1499.5,3.504054930123636,4.952,0.001375,3.14516806531439,3.504054930123636
2,5002,2499.5,3.5384723711759873,4.926,0.00140625,4.1165483687384565,3.5384723711759873
3,5003,3499.5,3.5312261968891385,4.884,0.0014375,3.8011638076192873,3.5312261968891385
4,5004,4499.5,3.538321723855541,4.924,0.00153125,3.882498303421086,3.538321723855541
5,5005,5499.5,3.5215913360603968,4.914,0.0016875,3.6822877764720947,3.5215913360603968
6,5006,6499.5,3.5443530671206367,4.919,0.001546875,3.5936275537906135,3.5443530671206367
7,5007,7499.5,3.5392387845404634,4.879,0.001484375,3.977430860007209,3.5392387845404634
8,5008,8499.5,3.5264246730062268,4.927,0.001625,3.3936395266498107,3.5264246730062268
9,5009,9499.5,3.518396749381847,4.933,0.001546875,3.543522770209771,3.518396749381847
10,5010,10499.5,3.545695001619604,4.898,0.0015625,3.7339657336540313,3.545695001619604
11,5011,11499.5,3.553929144641081,4.898,0.001640625,4.2339394373835875,3.553929144641081
12,5012,12499.5,3.494870202230973,4.893,0.001484375,3.115789964902306,3.494870202230973
13,5013,13499.5,3.5028785002641456,4.916,0.001625,3.1132968106672636,3.5028785002641456
14,5014,14499.5,3.533530282622971,4.873,0.001703125,3.631869410319892,3.533530282622971
15,5015,15499.5,3.503204295008963,4.93,0.001828125,2.8179769577023888,3.503204295008963
16,5016,16499.5,3.5038007025841367,4.934,0.001609375,3.327717077307391,3.5038007025841367
17,5017,17499.5,3.519461632616316,4.907,0.001578125,4.060225224623634,3.519461632616316
18,5018,18499.5,3.5551097561008693,4.929,0.00146875,4.142307343432436,3.5551097561008693
19,5019,19499.5,3.4790319472270856,4.939,0.001640625,3.111771037822808,3.4790319472270856
20,5020,20499.5,3.5475578102679313,4.918,0.001609375,3.5642653400017323,3.5475578102679313
21,5021,21499.5,3.560532364137037,4.906,0.001578125,3.935230801069552,3.560532364137037
22,5022,22499.5,3.488007947802057,4.909,0.001578125,3.192203676065701,3.488007947802057
23,5023,23499.5,3.4725287007781147,4.91,0.00175,2.776860326357714,3.4725287007781147
24,5024,24499.5,3.49712385620022,4.945,0.00159375,3.175220690630302,3.49712385620022
25,5025,25499.5,3.5595247135203034,4.919,0.001671875,4.021412361688866,3.5595247135203034
26,5026,26499.5,3.5505485816516105,4.919,0.001578125,3.8771140720462323,3.5505485816516105
27,5027,27499.5,3.5280662403850633,4.942,0.00178125,3.6764814725693884,3.5280662403850633
28,5028,28499.5,3.558119562779122,4.911,0.00159375,4.306745455330271,3.558119562779122
29,5029,29499.5,3.5019804769403744,4.937,0.001734375,3.135597539679796,3.5019804769403744
30,5030,30499.5,3.5127094170606705,4.908,0.0016875,3.5090540069463754,3.5127094170606705
31,5031,31499.5,3.4780943966206617,4.96,0.00146875,3.2026704675464135,3.4780943966206617
32,5032,32499.5,3.5841750542917596,4.891,0.001625,4.252286750471082,3.5841750542917596
33,5033,33499.5,3.5375687096320396,4.932,0.00153125,3.879267184284264,3.5375687096320396
34,5034,34499.5,3.511213502212146,4.918,0.001375,3.72736854241346,3.511213502212146
35,5035,35499.5,3.522545387449474,4.918,0.001578125,3.766371706783135,3.522545387449474
36,5036,36499.5,3.491716406756022,4.885,0.001453125,3.453110062247839,3.491716406756022
37,5037,37499.5,3.5320710765487133,4.925,0.001625,3.414806212551177,3.5320710765487133
38,5038,38499.5,3.54461309763017,4.926,0.001578125,3.930651952818508,3.54461309763017
39,5039,39499.5,3.514835608688916,4.919,0.001765625,3.799406095437215,3.514835608688916
40,5040,40499.5,3.4891501102450984,4.918,0.00165625,3.055017714917338,3.4891501102450984
41,5041,41499.5,3.473765743574793,4.91,0.001390625,3.1576873451420258,3.473765743574793
42,5042,42499.5,3.5225458238816687,4.92,0.00165625,3.5387807256769572,3.5225458238816687
43,5043,43499.5,3.4873505281879096,4.902,0.001640625,3.3173141695531028,3.4873505281879096
44,5044,44499.5,3.5035003085276295,4.892,0.00140625,3.590468394366454,3.5035003085276295
45,5045,45499.5,3.5461861482195816,4.95,0.0018125,3.7126828385247013,3.5461861482195816
46,5046,46499.5,3.5312280781177936,4.933,0.001515625,3.939357321625557,3.5312280781177936
47,5047,47499.5,3.4896808770648886,4.906,0.00146875,3.574647697587531,3.4896808770648886
48,5048,48499.5,3.5201796927456086,4.872,0.001578125,3.4361249144760695,3.5201796927456086
49,5049,49499.5,3.486139780835592,4.925,0.001453125,3.550834661576484,3.486139780835592
50,5050,50499.5,3.55771866161891,4.922,0.001578125,4.15144134679902,3.55771866161891
51,5051,51499.5,3.526127882239883,4.906,0.0014375,3.664333027513144,3.526127882239883
52,5052,52499.5,3.536360910329094,4.943,0.0015,3.9763150416257185,3.536360910329094
53,5053,53499.5,3.5278300160561518,4.928,0.00159375,4.123452763255203,3.5278300160561518
54,5054,54499.5,3.500456195376441,4.922,0.0016875,3.334497261386692,3.500456195376441
55,5055,55499.5,3.526610224961894,4.93,0.00171875,3.6979298418353954,3.526610224961894
56,5056,56499.5,3.514848436509732,4.904,0.001390625,3.5473872178208175,3.514848436509732
57,5057,57499.5,3.500765057687662,4.888,0.001296875,3.3061885046298647,3.500765057687662
58,5058,58499.5,3.466876726932358,4.931,0.001609375,3.145377960057653,3.466876726932358
59,5059,59499.5,3.545316574117998,4.935,0.0016875,4.0624737194121145,3.545316574117998
60,5060,60499.5,3.556917165625437,4.879,0.001515625,4.242583803067179,3.556917165625437
